rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
137,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
53,X,NA,NA,NA,X,NA,NA,NA,NA,NA
62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
39.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
108.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
125.0,NA,X,NA,X,NA,NA,NA,NA,NA,NA
97.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
152.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
136.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
11,X,NA,NA,NA,X,NA,NA,NA,NA,NA
25.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,X,X,NA,NA,NA
63.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
29.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
128.0,NA,X,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
157.0,NA,NA,NA,X,NA,NA,NA,X,NA,NA
79,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
143.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
131.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
109.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
5.0,X,NA,NA,NA,NA,X,NA,NA,NA,NA
41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
130.0,X,NA,NA,X,NA,NA,NA,NA,NA,NA
90,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
99.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
155.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
141.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
110.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
66.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
142.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
55.0,NA,NA,NA,NA,X,X,NA,NA,NA,NA
113.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
27.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
33.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
77.0,NA,NA,X,X,NA,NA,NA,NA,NA,NA
72.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
10.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
88.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
58.0,NA,X,NA,NA,X,NA,NA,NA,NA,NA
133.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
107.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
124.0,NA,NA,NA,X,NA,NA,X,NA,NA,NA
112.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
106.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
47.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
8.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
151.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
45.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
57.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
95.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
148.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
46.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
114.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
150.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
93.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
138.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
69.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
134.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
7,X,NA,NA,X,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
43,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
68.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
21.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
