rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
63,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
138.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
104.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,x
82.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
157.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
152.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
108.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
48.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
69.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
91.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
136.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
100,NA,NA,NA,X,NA,NA,X,NA,NA,NA
131.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,X,NA,NA,NA,X,NA,NA,NA,NA,NA
90.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
33.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
35.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
135.0,NA,NA,X,NA,NA,NA,NA,NA,X,NA
20.0,NA,NA,X,X,NA,NA,NA,NA,NA,NA
113.0,NA,NA,NA,X,NA,NA,NA,NA,X,NA
6,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
18.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
93.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
103.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
96.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,X,NA,X,NA
77.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
154.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
30.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
102.0,NA,NA,X,X,NA,NA,NA,NA,NA,NA
51.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
73.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
14.0,NA,NA,X,X,NA,NA,NA,NA,NA,NA
46.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
109.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
49.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
78.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
151.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.0,NA,X,NA,X,NA,NA,NA,NA,NA,NA
47.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
67.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
84.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
121.0,NA,NA,X,X,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
58.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
123.0,NA,X,NA,NA,NA,NA,NA,NA,NA,NA
44.0,X,NA,X,NA,NA,NA,NA,NA,NA,NA
134.0,NA,X,X,NA,NA,NA,NA,NA,NA,NA
59.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
71.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
150.0,NA,NA,NA,NA,NA,NA,X,NA,X,NA
142.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
55.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
116.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
132.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
74.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
9.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
64,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,X,NA,NA,X,NA,NA
52.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
106.0,NA,NA,NA,X,X,NA,NA,NA,NA,NA
153.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
89.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
155.0,NA,X,NA,X,NA,NA,NA,NA,NA,NA
26.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
117.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
81.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
145.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
