rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
rid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,X,NA,NA,NA,X,NA,NA,NA,NA,NA
12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
152.0,NA,NA,NA,X,NA,X,NA,NA,NA,NA
80.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
138.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.0,X,NA,NA,X,NA,NA,NA,NA,NA,NA
150.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,X,NA,X,NA,NA,NA,NA,NA
66.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
1,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.0,NA,X,NA,X,NA,NA,NA,NA,NA,NA
21.0,X,NA,X,NA,NA,NA,NA,NA,NA,NA
68.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
144,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
130.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
7,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
120.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
57.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
44.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,X,NA,X,NA,NA,NA,NA,NA,NA
82.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
143.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
164.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
65,X,NA,NA,NA,X,NA,NA,NA,NA,NA
