rid,fear
x049-sf-1,"אם היא מתחילה להרגיש מוצפת, היא חייבת להעסיק את עצמה, היא מתחילה לסדר ולשטוף כלים. אם היא בחוץ היא תחזור הביתה. גם אם דברים מסודרים היא תמצא להם מקום אחר, היא תגיד לעצמה שזה לא מקום טוב ותמצא לזה מקום חדש."
x049-cf-1,"חרדת הליבה זה הפחד לאבד שליטה ולהתפרץ. הטריגר זה להישאר עם המחשבות הקשות, התגובה עלולה להיות לאבד שליטה וזה מפחיד אותה כי היא יודעת מה ההשלכות- בעבר היתה יכולה להיות אלימה, לזרוק דברים או להגיד דברים רעים."
x016-sf-1,"באה ללמוד ולסדר את כל הדברים לשם כך, כל דבר במקום שלו וצריך לנקות לפני כן. הקומפולסיה היא שיהיה לה מסודר ונקי לפי איך שהיא רוצה בדיוק.
היא מרגישה חוסר יכולת להתחיל ללמוד, זה מונע ממנה כי יש סדר עדיפויות, לא יכולה להתחיל 2 לפני שסיימה את 1"
x016-sf-2,"כשהיא צריכה להכניס בגדים לאורן לאחר כביסה ולא היא קיפלה אותם
היא מרגישה צורך לקפל אותם שוב, בסימטריה שלה
זה מעורר בה חירפון, משגע אותה"
x016-cf-1,"החרדה היא שיש סדר מסויים בו דברים חייבים להתבצע, הטריגר הוא לשבת ללמוד והקומפולסיה היא ניקיון וסדר"
x016-cf-2,"טריגר- קיפול בגדים בארון
תגובה- לקפל מחדש
פרשנות- מריכה את הסדר שלה"
x044-sf-1,"טריגר/ קונטקסט- קשור לדברים שהיא מפחדת שהיא לא תעשה אותם כמו שצריך, פספסה משהו או שהפעולה עצמה מלחיצה אותה. היא היתה צריכה לעשות משהו בעבודה והיא הרגישה אבודה עם המשימה אז היא היתה חייבת לחלק את זה. 
הרגישה שהיא צריכה למספר את הפעולות שהיא צריכה לעשות כדי להשלים את המשימה- חוזרת אחר כך בראש גם על המספרים וגם על הפעולות.
התחושה הראשונה של להמנע מזה- לחץ, כי זה להישאר במצוקה. אם אין את הדרך להרגיע את זה החרדה תגבר"
x044-sf-2,"בדיקה חוזרת של דברים- קורה כל הזמן, הרבה משימות שהיא עושה היא תבדוק את עצמה לפחות פעמיים- כולל דלתות, לקחה איתה את הכל לפני שהיא יוצאת. לפעמים בודקת יותר מפעמיים- כשזה נראה לה יותר חשוב והיא יכולה לבדוק המון פעמים. למשל אם היא עושה משהו בעבודה/ בלימודים שהיא מרגישה פחות בטוחה בו/ שזה חשוב, גם תבדוק מלא פעמים וגם תבקש ממישהו לבדוק לה כדי להיות בטוחה. 
הדבר הראשון שעולה לה בראש אם היא לא בודקת זה לחץ ושהיא בטוח טעתה."
x044-cf-1,"חוסר שליטה. היא מפחדת שאם היא לא תמספר את הפעולות שלה ותחזור על זה, הלחץ והחרדה ישתלטו והיא תגיע למצב של חוסר שליטה- זה יכול להוביל לכל דבר, אבל עצם החוסר שליטה זה מה שמפחיד אותה."
x044-cf-2,"הטריגר זה איזשהי משימה חשובה/ אפילו רגילה, התגובה שלה זה לבדוק פעמיים אם זה רגיל והמון פעמים כולל לבקש ממישהו אחר שיבדוק אם זה חשוב."
x021-sf-1,"עולה בה המחשבה אחרי שנגעה במשהו מלוכלך. היא יושבת עם חבר שלה אצלו בבית ואז היא הלכה באמצע הלימודים לשטוף ידיים. או שהיא רוצה להתקלח והיא צריכה ללכת להתקלח אצלה בבית. אם היא לא מתנקה קשה לה לחשוב על דברים אחרים וחושבת רק על זה ונהיית עצבנית וחסרת סבלנות, מרגישה שהיא רוצה לעזוב הכל וללכת לעשות את זה, חוסר אונים"
x021-sf-2,"מישהו נכנס לך לחדר והזיז לה דברים והיא מרגישה צורך לסדר.
אמא שלה גם מסדרת לה את הארון, למרות שהיא אמרה לה לא לסדר. היא היתה מסדרת מחדש, עד שהחליטה להספיק עם זה
היא הרגישה חוסר אונים, כי היו מבלגנים לה שוב. גם אם מדובר במקרה חד פעמי"
x021-cf-1,פחד מהשתלשלות אירועים של הידבקות במחלות מה שיוביל לכך שהיא תחלה במשהו עוד יותר נורא ממה שיש לה
x021-cf-2,תחושות חוסר וודאות וחוסר אונים
x045-sf-1,"כרגע בזמן הראיון היא רוצה לסדר- יש ערמה של 4 דברים- קופסה, מטען וכן הלאה, והם לא נמצאים במקום והיא ממש רוצה לסדר אותם. לשים אותם במקום שלהם, אם זה כלי צריך לשטוף אותו וכאלה. היא מרגישה חוסר נוחות, בחילה מנטלית. דרך מסוימת שמרגיעה אותה זה להתעסק עם דברים ביידים כמו שהיא עושה ברגע זה. לתופף עם היד, התעסקות כלשהי, שזה עוזר עם ההפרעת קשב."
x045-cf-1,"כאשר לא מסדורים או לא במקום שלהם, אם מישהו אחר יסדר כמו שהיא רוצה אז זה בסדר, העניין בזה זה גם עניין של יעילות ואסתטיות. זה ממש יפריע לה- עקה, משקל בבטן- NOT JUST RIGHT EXPERIENCE . במקרים של יעילות זה יותר חמור"
x017-sf-1,"סדר של ארון משרדי שהיא מסדרת לבד, ויש דברים מסביב שקשורים אולי לזה אבל הם מתעסקים בדברים שלהם. האי מסדרת את זה לפי סדר של שנים ובתוך כל שנה לפי סדר א-ב.
אם היא לא מסדרת אז היא לא רוצה להשתמש בו. התחושה הראשונה שעולה זה כעס שלא הקשיבו לה והסדר שלה יותר טוב"
x017-sf-2,"יוצאת מהבית וצריכה לנעול דלת- היא צריכה לבדוק 3 פעמים שהדלת נעולה לפני שהיא הולכת. הרגישה אכזבה כי היא איכזבה את אמא שלה. חוסר אחריות חוסר אונים
"
x017-cf-1,פחד שזה יוביל ללחץ נוסף ובלאגן נוסף שיובילו אותה למחשבות על עצמה ותהיות שלא עמדה במחויבות לאחרים. אשמה ואחריות שלה.
x017-cf-2,פחד מכך שיפרצו ויקרה משהו
x043-sf-1,"נמצא בחדר, מרגיש כאילו החיים לא מספיק מסודרים, חייב להחיל סדר על כל הדברים. הוא מרגיש שהוא צריך לסדר הכל- אבל הכל, זה רשימה של דברים שיש לו.  אם הוא נמנע מלסדר- איך אני יכול בכלל לעשות משהו אחר? איך אני יכול לעשות משהו שהוא בסדר מבחינת סידור אלא אם כן הדברים האלה הם מסודרים."
x043-cf-1,"טריגר- כשהוא מרגיש שמשהו לא מסודר בחיים שלו
תגובה- סידור כל החדר
פרשנות- אם הוא לא יסדר את החדר הוא לא יצליח לסדר שום דבר אחר בחיים שלו והכל יתמוטט, כמו דומינו"
x035-sf-1,"המצב בו היא נמצאת- היא נמצאת בעיקר בבית, היא ראתה את המטבח, ערמת כלים נקיים אמנם אבל מפוזרים בכל מקום, היא רוצה להתחיל לעבוד על דברים שקשרים ללימודים וגם החדר הפוך. והיא לא מסוגלת להתחיל לעבוד על שום דבר כשהדברים לא נמצאים במקומם- הכלים שהם במטבח שצריכים להיות במגירות, בגדים על המיטה, דברים על השולחן. הכל צריך להיות בדיוק במקום- השולחן מסודר בצורה מסוימת. היא כותבת בדפדפות- צריכה שהיא תהיה בעובי מסוים כדי להרגיש בנח, אם הדפדפת עם מעט דפים זה מפריע לה. היא חייבת להוסיף עובי. התחושה הראשונה היא של יאוש."
x035-sf-2,"חשש שהיא לא תצליח לעבור את הסמסטר, כל פעם שהיא אומרת את זה בקול היא חייבת לנקוש שלוש פעמים על המצח ושלוש פעמים על השולחן. כמו עין הרע. התחושה הראשונה- חלחלה בגוף , היא תחשוב על זה הרבה שהיא לא עשתה את זה."
x035-cf-1,"טריגר- כשהכל מבולגן מסביב והיא צריכה להתחיל ללמוד / לעבוד
תגובה- מתחילה לסדר את הכל במקום שלו
פרשנות- מפחדת לבזבז את החיים שלה, להגיע למצב של חוסר מימוש הפוטנציאל"
x035-cf-2,"טריגר- אומרת משהו רע או שמישהו אחר אומר משהו רע שעלול לקרות- תאונה, כשלון
תגובה- לדפוק 3 פעמים על המצח ושלוש על עץ
פרשנות- היא תצתרך לחיות עם תחושת האשמה כל חייה- היא גרמה לזה"
x039-sf-1,"קונטקסט- נמצאת בבית, רוב הדברים קשורים למטלות בבית. עושה מטלה ללימודים, בעלה מחליט שיש לו מצב רוח והוא מקפל כביסה. אמא שלה גם בנאדם של סדר וארגון בצורה מטורפת, והכל אצלה מקופל בצורה ספציפית ולפי צבעים. וממש בא לה ללכת לראות אם הארון מסודר. היא מרגישה צורך לתקן את הדברים שהוא עשה בגלל שלא היא עשתה אותם. התחושה הראשונה שעולה בגוף- אי נוחות."
x039-sf-2,"הקונטקסט- לפעמים היא נכנסת להתקפי חרדה מכל מיני סיבות, לא תמיד היא יודעת להגיד מה הטריגר ומתחיל לה רצף של קוצר נשימה, של אי נוחות, צורך להסתובב ולתפוס משהו, להרגיש עוגן. והצורך הזה מביא אותה לספור, כל דבר שהיא רואה מולה או אם לא מצליחה להיתפס על משהו זה לספור בראש בקצב אחיד כדי לנסות לחזור לקצב אחיד שהיא מכתיבה לעצמה, לאפס בחזרה את הסיטואציה ולתפוס שליטה. ההתקפי חרדה באים בתדירות דיי גבוהה- בערך פעמיים בשבוע, אבל הרבה פעמים היא סופרת כשהיא מסדרת דברים- כמה גרביים יש, את המתלים מאחוריה, כמה חולצות קיפלה- לדעת מה יש. 
התרכזות בספירה בזמן הסידור- התחושה הראשונה בהמנעות מספירה זה אי נוחות וצורך לעבור מקסימום בסוף כדי לוודא."
x039-cf-1,"טריגר- דברים שלא מסודרים כמו שצריך או כמו שהיא רוצה.
תגובה- צריכה לסדר את זה, לוודא הכל
פרשנות- היא מפחדת שאם זה ישאר היא לא תוכל להתפקס בשום דבר אחר, זה יעכב אותה, יוביל לכישלון ולתחושת אכזבה עצמית שתכניס אותה עוד ללופ הזה של כישלון ואכזבה עצמית"
x039-cf-2,שוב לא לאכזב את עצמה
x022-sf-1,"כשהיא נמצאת בעבודה היא מכינה הזמנות של אנשים שהזמינו בסופר באינטרנט. בגלל שהיא חדשה ושהיא לא סגורה על עצמה אז היא בודקת שוב את ההזמנה שוב ושוב לוודא שהם קיבלו את הכל. בגגל שכל הזמנה עובדת על זמנים אז לוקח לה יותר זמן מאחרים, כך שגם היא מתעכבת המון בעבודה וגם מול הבוס.
עולה לה חוסר ביטחון, שהיא יותר מדי בטוחה בעצמה ללא עירבון- אם היא לא תבדוק שוב"
x022-cf-1,"מה שמפריע לה זה ציפיות, כיצד היא ואחרים תופסים אותה. וזה תלוי סיטואציה האם היא חברתית או אישית"
x036-sf-1,"נניח היא עולה הביתה, נכנסת, נועלת את הדלת ושמה הכל במקום, ואז היא מתחילה לחשוב האם היא הרימה את האמברקס/ האם היא נעלה את האוטו. אם יש עוד אנשים בבית זה עוד יותר מלחיץ כי הם מנסים לבטל אותה- היא רוצה ללכת לבדוק והם אומרים בטח שחכת ועשית את זה. זה מרגיז אותה כי הרכב ידני והיא רה באזור משופע והיא כן יורדת מהר כדי לבדוק את זה. היא לא מסתפקת להסתכל דרך החלון, היא פותחת את הרכב, בודקת שהאמברס מורם ורק אז נרגעת. בשבועות עמוסים זה יכול לקרות כל יום. אם היא יוצאת מהבית זה יכול לקרות כמה פעמים. המחשבה הראשונה- זה מאוד מציק לה- אולי היא כן עשתה ואולי לא. אולי היא מנסה להיזכר אבל היא שותלת לעצמה מחשבות בראש- האם זה קרה ? זה לא קרה? האם זה היה אתמול/ היום? לנסות להבין אם היא זוכרת"
x036-sf-2,"נניח שהיא מגיעה לעבודה והיא רואה ששינו לה את הסדר של הפיפטות שהיא עובדת איתן/ הכלים. דבר ראשון זה לנקות את המשטח ולסדר אותן שוב לפי הגודל, בשורה מהגדול לקטן. זה נורא מציק לה אם הדברים הם לא באותו סדר והיא ממש עוצרת הכל כדי להביא את זה למצב שהיא חושבת שזה צריך להיות. ואחרי זה היא נושמת רגע ובודקת שהכל מסודר ומתוקתק. התחושה הראשונה זה אי נוחות- מנסה להסביר לעצמה שאולי יש משהו שיותר דחוף שהיא צריכה לעשות עכשיו. המחשבה הראשונה זה למה זה לא מסודר?"
x036-cf-1,"טריגר- שהיא מחנה את האוטו ופתאום חושבת מה יקרה אם האמברקס למעלה והיא חייבת ללכת לבדוק.
תגובה- הולכת לבדוק אפילו כמה פעמים ביום.
פרשנות- אם היא לא תעשה דברים כמו אחרים, בסיסיים ויומיומים, זה אומר שהיא פחות טובה מהם. במצב הזה היא לא תאהב את עצמה וזה יוביל אותה להישאר במיטה ולא לעשות כלום. הכלום הזה, זה מה שמפחיד אותה."
x036-cf-2,"טריגר- הסיטואציה בה הדברים לא מסודרים טוב בעין
תגובה- לסדר בשורה מהגדול לקטן
פרשנות- אם הדברים לא מסודרים טוב בעין אז היא עלולה להיות מוסחת, לעשות טעות בעבודה ולשפל. אם היא תגיעה למצב שאין לה עבודה בגלל זה אז היא תרגיש שהיא כשלון ותראה את עצמה כחסרת ערך"
x027-sf-1,"כשהיא צריכה לנעול את הבית, בלילה והיא היחידה שערה והיא עולה ויורדת במדרגות כדי לוודא שהדלת נעולה. היא עושה זאת מספר פעמים, תוך כדי ההתארגנות לשינה.
עולה לה לחץ, מפחדת שמישהו ייכנס"
x027-sf-2,"כשהיא חושבת מחשבות שהיא לא רוצה לחשוב כמו מחשבות מיניות או לפגוע באחרים היא מרגישה צורך להכנס להתקלח או לשטוף ידיים. 
תחושה של גועל נפש, בא לי להקיא"
x027-cf-1,מפחדת להישאר לבד בעולם
x027-cf-2,מפחדת להיות לבד
x024-sf-1,"בדירה שלה בירושלים, שהיא נמצאת לבד בלילה. היא תעבור בחדרים של השותפות שהכל סגור שם, דלת וחלונות כמה פעמים. ואז כשהאי תלך לישון תמיד יהיו רעשים כאילו יש מישהו בדירה. 
אם היא לא בוקת יש לה תחושת לחץ בידיעה שהיא לא תישן כל הלילה"
x024-sf-2,"כשהיא חושבת על מה משהו רע שיקרה לקרובים שלה, היא מרגישה צורך להעלות מחשבות של הרגעה, שיהיה בסדר עם כולם, לעשות את הדברים יותר מציאותיים בניגוד למחשבות שלה עצמם שהן אל מיאותיות. לספר את האמת למחשבה הלא רציונלית. 
אם היא לא חושבת אותן אז היא מרגישה לחת וחרדה והמחשבה תהיה בלופים בראש עד שלא יהיה משהו שיקטע אותו."
x024-cf-1,אחריות עצמית על דברים שצריכים להיות תחתיה.
x024-cf-2,פגיעה בקרובים שלה
