"id","sticsa_1","sticsa_2","sticsa_3","sticsa_4","sticsa_5","sticsa_6","sticsa_7","sticsa_8","sticsa_9","sticsa_10","sticsa_11","sticsa_12","sticsa_13","sticsa_14","sticsa_15","sticsa_16","sticsa_17","sticsa_18","sticsa_19","sticsa_20","sticsa_21","sum_sticsa"
"R_2QtxlkWKMBElSnS",2,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,17
"R_2PAN4yTc3Z7Bp2N",2,2,3,2,3,3,1,0,2,2,0,0,1,0,1,1,3,0,2,1,0,29
"R_2SiUdaC8x2z8KbP",2,3,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0,12
"R_25ucBNYFJ0EhKNL",1,2,2,3,3,3,1,1,2,2,2,2,2,1,0,3,3,0,1,3,0,37
"R_pz4W8NNTFw2Jmnf",1,2,1,2,2,0,1,0,0,1,1,1,2,1,0,0,1,0,2,0,0,18
"R_b9poPy7h408Ky1r",2,1,1,3,2,3,2,2,1,2,0,3,3,3,1,3,1,3,2,0,3,41
"R_1Cd1spuj8rxEnpf",2,2,3,2,3,1,2,1,2,3,1,1,2,1,1,1,3,1,3,2,1,38
"R_3KqrUtOzaDexn8J",2,1,2,3,2,2,2,3,2,3,2,1,2,1,2,3,3,1,2,2,1,42
"R_2xV3biGMoAnjPsy",3,2,2,1,1,3,0,1,0,1,2,1,1,0,0,2,2,2,2,2,2,30
"R_STRRwC83EaTBBuh",1,2,1,0,0,0,1,0,0,1,1,0,0,1,2,1,1,3,1,1,0,17
"R_3EotWpmvPdVmhqv",0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,2,1,0,0,2,11
"R_WkeBAEPjk6FDhgR",2,1,2,0,3,2,2,0,3,1,2,1,2,1,0,3,2,1,2,3,0,33
"R_2ZVO7BGn8HhEBCR",2,1,3,3,0,1,1,3,0,2,0,0,0,0,1,1,1,2,2,3,0,26
"R_33m7d6sUNl4NirS",1,0,1,1,1,0,1,1,0,2,1,0,1,0,0,1,1,0,1,0,1,14
"R_28INXvwZWqNHVrU",2,2,1,1,1,0,0,0,1,2,2,0,1,0,1,3,1,0,1,0,0,19
"R_6x58IApqFxaU3Tj",1,2,2,1,2,1,2,0,2,2,1,0,2,1,1,1,1,0,1,1,0,24
"R_10wpLMHQJLOzV6k",1,2,3,0,0,1,2,1,3,2,1,2,1,1,0,0,0,0,2,0,0,22
"R_247AuLKAjhg4hCm",0,3,2,2,0,0,2,0,1,1,0,0,1,1,2,1,2,1,2,0,0,21
"R_2PiALwDkDmUzMCd",1,0,1,0,2,1,0,1,0,2,0,1,0,0,1,1,0,1,2,0,1,15
"R_1rxifGaQTrI8MiP",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,16
"R_rrruUKJRv24Sdnr",1,1,3,2,3,3,3,3,3,3,1,3,3,3,1,3,2,1,2,2,1,47
"R_3Oqf336KGhhbePy",2,1,3,2,2,0,1,1,0,3,2,1,1,0,0,3,2,1,3,1,0,29
"R_25XPoOfYJYXVOcp",1,2,2,1,2,0,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,27
"R_1ClqmM3SD6ZZxa4",2,1,3,3,2,1,1,2,3,2,2,1,3,1,1,1,2,2,1,1,0,35
"R_1pGa9iirRv6S9b7",1,1,3,2,3,0,0,1,2,3,3,1,2,0,0,0,3,0,2,1,0,28
"R_YPojKVQJPNKz12p",2,2,1,1,1,0,0,1,1,2,1,1,1,1,1,2,2,1,1,1,1,24
"R_1ds3oAhMso9VvIK",1,1,1,2,2,0,1,0,1,1,0,0,1,0,0,2,1,0,0,0,0,14
"R_2rl31RIL4ctpQ94",2,3,3,3,2,0,3,2,3,3,3,2,3,2,2,3,3,3,3,0,2,50
"R_3MQCMdounZqhsIl",2,2,3,1,1,0,1,1,1,3,1,0,2,0,0,1,1,1,3,1,0,25
"R_cA83JBAZyPVpGXD",2,2,3,3,3,0,1,0,3,3,1,0,3,1,2,1,1,2,1,1,1,34
"R_33m4bRQqedAK7IX",1,3,2,2,1,3,3,1,2,2,3,2,2,2,2,3,2,1,2,2,1,42
"R_3iPXVBuZwpbrRPU",1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,28
"R_1rpipgHgUGbMCDw",0,1,2,3,3,1,1,0,1,1,1,1,1,0,1,2,1,0,1,1,0,22
"R_rqfbI7eYfmemGjf",3,2,3,2,2,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,1,54
"R_1lA9OLC2xllfb7n",2,2,3,3,3,2,1,2,2,3,3,1,3,2,0,3,3,3,3,1,0,45
"R_3EYJpVfM4Zc9mGp",2,3,2,1,1,1,2,2,1,2,1,0,0,2,1,1,2,2,1,0,0,27
"R_5C1kClX43MzF9fj",2,2,2,2,2,1,1,1,1,1,3,1,0,1,1,3,3,1,3,2,1,34
"R_8ccldA6ZKp4F6iR",1,3,2,2,3,1,3,1,0,1,2,0,0,1,0,2,3,1,0,1,0,27
"R_3GrHYMVj5wfdVka",0,1,2,3,3,0,1,0,2,3,3,1,2,0,1,2,3,0,3,0,0,30
"R_2UYIgKlXQLOrdVM",2,3,3,2,3,1,2,1,2,3,2,1,3,2,2,2,3,1,3,2,0,43
"R_1P6tiZmRvzPHOMn",2,1,2,2,2,0,1,0,3,3,2,1,2,1,0,2,2,2,1,1,0,30
"R_248UFZi7OUAYbl9",1,2,2,3,3,1,1,1,2,3,1,2,2,1,2,2,2,1,1,2,2,37
"R_1JL3BIwJOUWpMoq",1,2,1,1,2,1,2,0,0,1,2,0,0,1,1,1,3,0,0,0,2,21
"R_2wESYErJmwBjTdX",2,2,1,0,1,2,2,0,0,3,1,3,1,1,3,3,1,2,2,0,0,30
"R_1AdewPqim9ggvO9",2,1,1,2,1,1,0,2,1,3,0,1,2,0,2,3,1,0,2,3,3,31
"R_3sjKLOLI6M1v2Jc",2,1,2,3,2,1,1,1,2,3,2,1,2,1,2,2,2,1,2,1,1,35
"R_1rpsnbmpQoh5CU2",2,1,3,2,1,0,1,1,2,3,3,1,1,0,0,2,2,1,2,1,0,29
"R_1hR4MoKiuqCmStL",2,2,2,1,0,0,1,1,2,2,0,0,2,2,2,1,1,1,2,1,1,26
"R_2hoVDJMAZzsfHYB",1,0,1,1,3,0,1,1,0,0,2,0,0,0,0,2,1,1,0,0,0,14
