"id","wave","is_real","type","experiment","rid","Affiliation","Predictibility","Competence","Control","Self-image","Survival","Physical comfort","Morality","Distress tolerance","No Idea","Comments"
"R_2QtxlkWKMBElSnS",1,3,"core","online",1,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA,NA
"R_2QtxlkWKMBElSnS",1,3,"surface","online",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_2PAN4yTc3Z7Bp2N",1,NA,"core","online",3,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2PAN4yTc3Z7Bp2N",1,NA,"surface","online",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_2SiUdaC8x2z8KbP",1,1,"core","online",5,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_2SiUdaC8x2z8KbP",1,1,"surface","online",6,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_25ucBNYFJ0EhKNL",1,3,"core","online",7,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_25ucBNYFJ0EhKNL",1,3,"surface","online",8,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"R_pz4W8NNTFw2Jmnf",1,1,"core","online",9,"X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_pz4W8NNTFw2Jmnf",1,1,"surface","online",10,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_b9poPy7h408Ky1r",1,1,"core","online",11,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"R_b9poPy7h408Ky1r",1,1,"surface","online",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_1Cd1spuj8rxEnpf",1,3,"core","online",13,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1Cd1spuj8rxEnpf",1,3,"surface","online",14,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3KqrUtOzaDexn8J",1,3,"core","online",15,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_3KqrUtOzaDexn8J",1,3,"surface","online",16,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2xV3biGMoAnjPsy",1,3,"core","online",17,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_2xV3biGMoAnjPsy",1,3,"surface","online",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_STRRwC83EaTBBuh",1,1,"core","online",19,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_STRRwC83EaTBBuh",1,1,"surface","online",20,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3EotWpmvPdVmhqv",1,3,"core","online",21,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3EotWpmvPdVmhqv",1,3,"surface","online",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_WkeBAEPjk6FDhgR",1,3,"core","online",23,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"R_WkeBAEPjk6FDhgR",1,3,"surface","online",24,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA
"R_2ZVO7BGn8HhEBCR",1,3,"core","online",25,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA
"R_2ZVO7BGn8HhEBCR",1,3,"surface","online",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_33m7d6sUNl4NirS",1,1,"core","online",27,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_33m7d6sUNl4NirS",1,1,"surface","online",28,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"R_28INXvwZWqNHVrU",1,3,"core","online",29,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"R_28INXvwZWqNHVrU",1,3,"surface","online",30,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_6x58IApqFxaU3Tj",1,1,"core","online",31,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_6x58IApqFxaU3Tj",1,1,"surface","online",32,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_10wpLMHQJLOzV6k",1,3,"core","online",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_10wpLMHQJLOzV6k",1,3,"surface","online",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_247AuLKAjhg4hCm",1,3,"core","online",35,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_247AuLKAjhg4hCm",1,3,"surface","online",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_2PiALwDkDmUzMCd",1,1,"core","online",37,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_2PiALwDkDmUzMCd",1,1,"surface","online",38,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1rxifGaQTrI8MiP",1,3,"core","online",39,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"R_1rxifGaQTrI8MiP",1,3,"surface","online",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_rrruUKJRv24Sdnr",1,3,"core","online",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_rrruUKJRv24Sdnr",1,3,"surface","online",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_3Oqf336KGhhbePy",1,1,"core","online",43,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_3Oqf336KGhhbePy",1,1,"surface","online",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","אולי FAFFILIATION"
"R_25XPoOfYJYXVOcp",1,3,"core","online",45,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_25XPoOfYJYXVOcp",1,3,"surface","online",46,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1ClqmM3SD6ZZxa4",1,3,"core","online",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_1ClqmM3SD6ZZxa4",1,3,"surface","online",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_1pGa9iirRv6S9b7",1,1,"core","online",49,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_1pGa9iirRv6S9b7",1,1,"surface","online",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_YPojKVQJPNKz12p",1,1,"core","online",51,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"R_YPojKVQJPNKz12p",1,1,"surface","online",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_1ds3oAhMso9VvIK",1,1,"core","online",53,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_1ds3oAhMso9VvIK",1,1,"surface","online",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_2rl31RIL4ctpQ94",1,1,"core","online",55,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_2rl31RIL4ctpQ94",1,1,"surface","online",56,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_3MQCMdounZqhsIl",1,1,"core","online",57,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3MQCMdounZqhsIl",1,1,"surface","online",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_cA83JBAZyPVpGXD",1,3,"core","online",59,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA
"R_cA83JBAZyPVpGXD",1,3,"surface","online",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_33m4bRQqedAK7IX",1,1,"core","online",61,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA
"R_33m4bRQqedAK7IX",1,1,"surface","online",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_3iPXVBuZwpbrRPU",1,1,"core","online",63,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_3iPXVBuZwpbrRPU",1,1,"surface","online",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_1rpipgHgUGbMCDw",1,3,"core","online",65,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"R_1rpipgHgUGbMCDw",1,3,"surface","online",66,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"R_rqfbI7eYfmemGjf",1,1,"core","online",67,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA
"R_rqfbI7eYfmemGjf",1,1,"surface","online",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_1lA9OLC2xllfb7n",1,1,"core","online",69,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"R_1lA9OLC2xllfb7n",1,1,"surface","online",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_3EYJpVfM4Zc9mGp",1,1,"core","online",71,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3EYJpVfM4Zc9mGp",1,1,"surface","online",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_5C1kClX43MzF9fj",1,1,"core","online",73,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_5C1kClX43MzF9fj",1,1,"surface","online",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_8ccldA6ZKp4F6iR",1,3,"core","online",75,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_8ccldA6ZKp4F6iR",1,3,"surface","online",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_3GrHYMVj5wfdVka",1,1,"core","online",77,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"R_3GrHYMVj5wfdVka",1,1,"surface","online",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_2UYIgKlXQLOrdVM",1,1,"core","online",79,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA
"R_2UYIgKlXQLOrdVM",1,1,"surface","online",80,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"R_1P6tiZmRvzPHOMn",1,1,"core","online",81,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_1P6tiZmRvzPHOMn",1,1,"surface","online",82,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_248UFZi7OUAYbl9",1,1,"core","online",83,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"R_248UFZi7OUAYbl9",1,1,"surface","online",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_1JL3BIwJOUWpMoq",1,1,"core","online",85,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA
"R_1JL3BIwJOUWpMoq",1,1,"surface","online",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"R_2wESYErJmwBjTdX",1,1,"core","online",87,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"R_2wESYErJmwBjTdX",1,1,"surface","online",88,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
