"id","age","gender","marital_status","education","education_yrs","income","religion","lang_is_heb","time_diff"
"st002",34,2,1,4,"14",2,1,1,25.7444328703704
"st010",32,2,1,3,"20",2,1,1,32.9991435185185
"st004",24,2,1,2,"12",NA,1,1,26.9301157407407
"st012",31,2,1,3,"16",3,1,1,25.6013541666667
"st016",25,2,1,2,"12",1,1,1,25.0849537037037
"st029",26,2,1,4,"16",7,1,1,28.0430208333333
"st030",47,2,2,2,"12",4,1,1,48.0868518518519
"st014",24,2,1,2,"12",6,1,1,27.1006712962963
"st026",28,2,1,3,"16",2,1,1,41.9724768518519
"st028",44,2,2,4,"19",5,1,1,39.9829050925926
"st036",29,2,1,4,"16",2,1,1,25.9270601851852
"st017",23,2,1,2,"14",6,1,1,25.1659259259259
"st042",20,2,1,2,"12",2,1,1,36.2360300925926
"st043",26,2,1,2,"14",1,1,1,35.0417361111111
"st037",27,1,1,3,"15",4,1,1,35.9566898148148
"st007",23,2,1,2,"13  (סיימתי שנה ראשונה בתואר ראשון)",6,1,1,37.6478472222222
"st040",32,2,1,4,"18",3,1,1,35.7543402777778
"st054",22,2,1,2,"12",4,6,1,33.7040046296296
"st041",26,2,1,3,"16",5,1,1,46.0378356481481
"st059",29,2,1,3,"12",4,1,1,43.9200925925926
"st039",25,2,2,2,"12 + סיום שנה א' בלימודי תואר ראשון.",4,1,1,NA
"st008",32,2,1,2,"12 שנות לימוד + 4 שנים לימודי תעודה",4,1,1,36.4380092592593
"st009",23,2,1,2,"12",3,1,1,28.4236921296296
"st013",28,2,1,3,"12",4,1,1,31.8695833333333
"st060",39,2,1,4,"18",6,1,1,28.030625
"st061",24,2,1,2,"12 שנות לימוד",7,1,1,26.288900462963
"st020",21,2,1,2,"12",7,1,1,NA
"st062",31,2,1,3,"15",3,1,1,28.974224537037
"st071",23,2,1,2,"12 (עכשיו בשנה ראשונה של תואר ראשון)",7,1,1,30.3071527777778
"st073",22,2,1,2,"12",3,1,1,46.127650462963
"st034",29,2,3,4,"18",3,1,1,35.0611574074074
"st044",31,2,2,4,"17",2,1,1,34.7593171296296
"st053",31,2,1,4,"22",3,1,1,NA
"st075",23,2,1,2,"12",2,1,1,NA
"st076",21,2,2,2,"12",2,1,1,27.68
"st038",28,2,2,4,"17",5,1,1,43.6719328703704
"st048",39,1,1,4,"17",3,1,1,33.1850231481481
"st057",19,2,2,2,"12",4,1,1,NA
"st083",24,2,1,2,"12",5,1,1,31.7306481481481
"st089",33,2,1,4,"17",5,1,1,28.960787037037
"st084",22,2,1,2,"13 (כולל שנה ראשונה של תואר ראשון, אני עכשיו בשנייה)",1,1,1,35.8
"st093",29,2,1,3,"16",3,1,1,48.9798726851852
