rid,fear
138,אם תקראי טקסטים הקשורים במוות את תרגישי לחץ.
147,"במועדון הספורט שנאי משחק בו עשו הפכו את אחד האימונים לערב הכרויות, נרשמתי לזה אבל חששתי ורציתי להימנע אבל בסוף החלטתי לגשת, כשנכנסתי למועדון אני רואה את האנשים שחלקם אני מכיר וחלקם לא.  אני מרגיש אי נוחות, חושש שלא יצא מהערב הזה כלום, אף אחת לא דירגה אותי ולא מצאו לי מאצ' כך שלא סקרנתי אף אדם ואני ארגיש פחות ערך, אני מפחד שזה ישפיע עליי גם בפעמים הבאות, וזה יישאר איתי כך שזה יפגע לי בביטחון העצמי וארגיש פחות בטוח בעצמי מה שיקשה עליי עוד יותר להשיג זוגיות. אז אני אהיה תקוע ומוטרד, אני ארגיש אכזבה וייאוש. אני מפחד שאני אפספס וארגיש החמצה אני יודע שאנשים מסוימים מצטערים שהם לא עשו את הדברים שהם רצו רגע לפני הסוף ואני מפחד להגיע למצב הזה

"
49,אם תגיעי לירושלים תרגישי חוסר נוחות וחרדה.
144,"לרוב נמנעת מלדבר, תחשוב הרבה. דפיקות לב חזקות, מסמיקה."
152,זה משהו שקשה לי לעשות מטלות כאלה ולקבל החלטה.
100,"אני נמצאת בבית, והוזמנתי למפגש חברתי עם חברים קרובים  ואני מרגישה חרדה שמתעוררת בי חרדה ואני מאוד חוששת אז  אני רוצה לכתוב לחברה טובה שלי שאני מעדיפה להימנע מהסיטואציה. אבל אני מחליטה ללכת על זה ולהיפגש איתם למרות זאת. אני  מרגישה שהחרדה מתבגרת, אני מודעת לזה שאני הולכת להתמודד עם החרדה, אני נמצאת עם החברים ומרגישה שאני לא מצליחה להתמודד עם החרדה שלי, היא מנצחת אותי. אני יושבת שם ושותקת לא מצליחה לדבר, למרות כל המאמץ שלי והניסיון ללכת ולהיפגש עם החברים שלי החרדה בסוף ניצחה ואני בכלל לא נהנית. זה נורא כי החרדה שולטת בי ואני מרגישה שאני חסרת אונים  מולה, ואם אני חסרת אונים משהו רע יכול לקרות לי או מישהו יכול לנצל את זה כנגדי ולא אצליח להגיב ולהגן על עצמי. 



"
101,"אם היא לא תלמד לפסיכומטרי, היא תרגיש לחץ אדיר והיא תתקשה להרדם."
57,אם תדברי על הרגשות ותפתחי בפני אנשים את תתחילי להרגיש תחושות פיזיות לא נעימות.
118,"גימבורי, הילדים מאוד רצו להיכנס ולא נתתי להם להנות מהחוויה, לא נתתי להם להכנס לבירכת הכדורים, הם היו אולי נדבקים במחלות או חיידים."
126,אם היה לי פצע לתקופה שמרגיש שונה ולא מוכר הייתי חוששת שזה יהיה משהו יותר מורכב ומסוכן -מצוקה גובהה רורגעית שתרד.
32,"אני יושבת בכיתה באוניברסיטה, אני רואה סביב סטודנטים משוחחים, אני רוצה לדבר איתם ולהכיר אותם אבל יושבת בצד, אני מחליטה לא להימנע מזה ולגשת אליהם- אני מרגישה חרדה, אם אני אדבר איתם הם לא יבנו ""למה אני מדברת איתם"". אני אולי קוטעת להם את השיחה או מפריעה להם וזה יגרום לי לתחושת מבוכה, אני כופה את עצמי עליהם אז הם לא ירצו לדבר איתי יותר,  זה יגרום לי לחשוב על עצמי דברים לא טובים, ואם אחשוב על עצמי דברים כאלה זה ימנע ממני בהמשך לנסות שוב לדבר עם אנשים, אז אני לא אכיר אנשים חדשים, לא יהיו לי חברים ואני אהיה בודדה"
99,"אני חוששת מהחרדה שזה יגרום לי להרגיש (חרדה מהחרדה), שתמנע ממני לתפקד כמו שמצופה ממני."
94,"את נכנסת למעלית בקופת חולים והיא נתקעת, את נכנסת להתקף פאניקה ומרגישה שנגמר לך האוויר ואת נחנקת. את מתה, ולמעשה שם זה נגמר, את חדלה מלהתקיים."
88,"אני נמצאת בחדר שלי, ואני פותחת וורד על הדף שהתחלתי לעבוד עליו בעבר על הסמינר במטרה להתקדם בו, אבל אני חוששת מלעבוד עליו, ורוצה להימנע מזה ולעשות דברים אחרים כמו לסדר את החדר. אני מחליטה שאני כן עושה את זה אני מרגישה  מרגישה עצבים, אני לא רוצה לעשות את זה אבל חייבת, זה לוקח לי הרבה זמן ואני מרגישה שאני מתעסקת בדברים אזוטריים ולא בעיקר - אני  נתפסת  לנקודה מאוד זניחה ולא חשובה במיוחד עבור העבודה, ומבזבזת עליה זמן רב. זה מבאס,  אני רוצה להתקדם לסיים את תקופת הלימודים האקדמיים שלי, ולהמשיך הלאה בחיי, אך זה נמנע ממני עקב הסמינריון , וזאת בנוסף לכך שאני לא מאוד שלמה עם התואר הזה ומרגישה שהוא לא באמת מקדם אותי מקצועית, אני מרגישה אפסיות ואני בסיטואציה שאני לא שמחה בה.  אז אני עושה משהו סתם, וחסר כל משמעות עבורי, ותוהה מה הטעם בחיים כאלה, אני עושה דברים שאינם יעילים ומועילים עבור, ומרגישה שהימים שלי עוברים להם מבלי לעשות דבר משמעותי, כך שלחיים שלי חסרה המשמעות."
7,אם לא אמנע ממסיבה צפופה במקום סגור אני חושבת שאולי לא היה לי כל כך נעים.
63,"חברים שלי מזמינים אותי לבוא איתם לים, אם לא אמנע מזה הם עלולים לרדת עלי ולצחוק עליי."
137,"במסגרת טיפול- את נכנסת לאוטו בחנייה, את מתניעה את האוטו במטרה להתחיל לנסוע, את חשה דופק גבוה ודריכות. את מתחילה לנסוע ופוגעת בילד. הילד נהרג במקום, את מרגישה אשמה על כך שגזלת חיים של ילד."
12,"אני רוצה לנסוע לקטיף בצפון ביום שבת, אבל אני רואה שאין אוטובוסים וזה במקום רחוק שאני לא מכירה את הדרך אליו. אני חושבת לוותר על הקטיף אבל מחליטה כן לנסוע אליו. אני מפחדת לנסוע למקום שאני מכירה כי אם אלך לאיבוד אני אסתובב סביב עצמי, ואם זה יקרה והוויז ישתבש אני לא אצליח לחזור למסלול הנכון, כך שאני אהיה לחוצה מכך שהתרחקתי מהיעד והבית. אני אתחיל להזיע מהלחץ וארגיש תחושת אי וודאות רבה, אני לא יודעת מתי זה יגמר ומרגישה חסרת שליטה - אני לא מצליחה לעזור לעצמי. ואז אני אתחיל לבכות ולהתעצבן ואאבד ריכוז, ואם אאבד ריכוז בנסיעה זה עלול להיות מסוכן עלולה להיות תאונה, ואני אגרום לכך שמישהו ימות באשמתי, ואני אצטרך לחיות עם זה שלקחתי חיים של מישהו שלא מגיע לו למות."
