"id","wave","is_real","type","experiment","rid","Affiliation","Predictibility","Competence","Control","Self-image","Survival","Physical comfort","Morality","Distress tolerance","No Idea","Comments"
"st002",1,1,"surface","sticsa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"st002",1,1,"core","sticsa",2,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA
"st010",1,1,"surface","sticsa",3,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st010",1,1,"core","sticsa",4,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"st004",1,1,"surface","sticsa",5,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st004",1,1,"core","sticsa",6,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st012",1,3,"surface","sticsa",7,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st012",1,3,"core","sticsa",8,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA
"st002",2,1,"surface","sticsa",9,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA
"st002",2,1,"core","sticsa",10,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA
"st010",2,3,"surface","sticsa",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st010",2,3,"core","sticsa",12,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA
"st004",2,3,"surface","sticsa",13,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st004",2,3,"core","sticsa",14,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st012",2,1,"surface","sticsa",15,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st012",2,1,"core","sticsa",16,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA
"st016",1,3,"surface","sticsa",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st016",1,3,"core","sticsa",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st029",1,1,"surface","sticsa",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st029",1,1,"core","sticsa",20,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st014",1,3,"surface","sticsa",21,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st014",1,3,"core","sticsa",22,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st030",1,2,"surface","sticsa",23,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st030",1,2,"core","sticsa",24,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st026",1,2,"surface","sticsa",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st026",1,2,"core","sticsa",26,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st028",1,1,"surface","sticsa",27,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA
"st028",1,1,"core","sticsa",28,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"st036",1,1,"surface","sticsa",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st036",1,1,"core","sticsa",30,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA
"st017",1,3,"surface","sticsa",31,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st017",1,3,"core","sticsa",32,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st007",1,2,"surface","sticsa",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","אם אין לי מידע שאומר שאין לי השלכה סופית איך אני יודע שזה DISTRESS"
"st007",1,2,"core","sticsa",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st037",1,2,"surface","sticsa",35,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st037",1,2,"core","sticsa",36,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st042",1,1,"surface","sticsa",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st042",1,1,"core","sticsa",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st043",1,3,"surface","sticsa",39,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st043",1,3,"core","sticsa",40,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st040",1,1,"surface","sticsa",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st040",1,1,"core","sticsa",42,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA
"st054",1,3,"surface","sticsa",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st054",1,3,"core","sticsa",44,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st041",1,3,"surface","sticsa",45,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st041",1,3,"core","sticsa",46,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st059",1,3,"surface","sticsa",47,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st059",1,3,"core","sticsa",48,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st016",2,2,"surface","sticsa",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st016",2,2,"core","sticsa",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st039",1,3,"surface","sticsa",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st039",1,3,"core","sticsa",52,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"st029",2,3,"surface","sticsa",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st029",2,3,"core","sticsa",54,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st017",2,3,"surface","sticsa",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st017",2,3,"core","sticsa",56,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st036",2,1,"surface","sticsa",57,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA
"st036",2,1,"core","sticsa",58,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA
"st014",2,1,"surface","sticsa",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st014",2,1,"core","sticsa",60,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st028",2,1,"surface","sticsa",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st028",2,1,"core","sticsa",62,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"st043",2,3,"surface","sticsa",63,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st043",2,3,"core","sticsa",64,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st037",2,1,"surface","sticsa",65,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st037",2,1,"core","sticsa",66,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st026",2,2,"surface","sticsa",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st026",2,2,"core","sticsa",68,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st042",2,1,"surface","sticsa",69,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st042",2,1,"core","sticsa",70,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"st040",2,2,"surface","sticsa",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st040",2,2,"core","sticsa",72,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA
"st007",2,2,"surface","sticsa",73,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st007",2,2,"core","sticsa",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st030",2,3,"surface","sticsa",75,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"התלבטנו אם זה לא יודע"
"st030",2,3,"core","sticsa",76,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st054",2,1,"surface","sticsa",77,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st054",2,1,"core","sticsa",78,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st041",2,1,"surface","sticsa",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st041",2,1,"core","sticsa",80,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st009",1,1,"surface","sticsa",81,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st009",1,1,"core","sticsa",82,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st008",1,1,"surface","sticsa",83,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st008",1,1,"core","sticsa",84,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA
"st059",2,3,"surface","sticsa",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st059",2,3,"core","sticsa",86,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA
"st013",1,1,"surface","sticsa",87,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st013",1,1,"core","sticsa",88,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st060",1,3,"surface","sticsa",89,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA
"st060",1,3,"core","sticsa",90,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA
"st061",1,1,"surface","sticsa",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st061",1,1,"core","sticsa",92,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st062",1,3,"surface","sticsa",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st062",1,3,"core","sticsa",94,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"st020",1,2,"surface","sticsa",95,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st020",1,2,"core","sticsa",96,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st071",1,1,"surface","sticsa",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st071",1,1,"core","sticsa",98,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA
"st009",2,3,"surface","sticsa",99,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st009",2,3,"core","sticsa",100,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA
"st073",1,3,"surface","sticsa",101,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st073",1,3,"core","sticsa",102,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"st008",2,3,"surface","sticsa",103,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"st008",2,3,"core","sticsa",104,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"st044",1,3,"surface","sticsa",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st044",1,3,"core","sticsa",106,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"st034",1,1,"surface","sticsa",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"st034",1,1,"core","sticsa",108,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"st075",1,3,"surface","sticsa",109,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA
