"id","oasis_1","oasis_2","oasis_3","oasis_4","oasis_5","sum_oasis"
"5d542c3a5af5900019bc80c4",2,1,2,1,2,8
"5e459f61418f610891628564",2,2,3,2,3,12
"5f0f6ef654ae12126762bd4e",1,1,1,1,1,5
"6141f7605cb3feed72dad9aa",1,1,2,1,1,6
"5d39c859babfbf00185c09ac",2,2,2,2,2,10
"58fa36995214e3000193281c",3,2,2,1,2,10
"6173a7aa2d3f11e56d9f96f2",2,2,1,1,2,8
"5e54367e80cd0944205b27f9",1,1,1,1,2,6
"60c895916a11e61bbd45d845",2,2,2,2,2,10
"6303dd61dc15d0245f90767b",1,1,2,1,1,6
"5ac3c4470527ba0001c20712",2,2,2,2,1,9
"61bb381140db417c1a138ba3",2,1,0,1,0,4
"567f59e0d18c640011e7ac0b",3,2,3,2,3,13
"5d50692435e3af0001f05a15",2,2,2,1,2,9
"5c8c2e09b828c80018deaced",2,2,2,3,2,11
"571b60465d40840012c3fd40",3,2,2,2,3,12
"634d7250a9dbe47b2b1d110f",2,1,4,2,3,12
"62e16e79326aa8ba7e6edeaf",1,1,0,0,1,3
"5cf91e3f1756e60017a30568",2,1,2,1,2,8
"5f216415e32db6041022a27b",1,1,0,1,0,3
"5e185c397eeb87000d989683",2,2,2,2,2,10
"6061ef11da123a1d9e55c6c8",2,2,2,2,2,10
"5996f68a9039240001432124",2,1,2,1,1,7
"63e6216da8150c9650c579c4",1,1,1,2,1,6
"5a5f945176d1c60001ab7e30",2,2,1,1,1,7
"5da2f9f17809b60014fc839a",2,2,0,1,1,6
"5d4551340196ac0001b914a5",2,2,2,2,2,10
"5d651665cad1a9001839839d",3,2,3,2,0,10
"5979d62b1fc28a000191759a",1,1,2,0,0,4
"595e4bef84f571000111ca04",2,3,2,2,3,12
"5ee531ca5f4c6f0be142ded4",2,2,1,1,1,7
"629e1ece4f4735be708aa604",1,1,0,0,1,3
"5b4e147ad4c93b00019c9e01",1,1,2,0,2,6
"5f1419bee764c61e136008ed",1,1,0,1,0,3
"571c92b2e1d2ec0009a6872b",2,2,2,1,1,8
"63cee98c7cce75401646795a",1,1,2,1,2,7
"5e8d96efe32229018dec69dd",1,1,1,1,2,6
"5e950a4aef32a3375999451e",3,2,2,2,1,10
"56b27fed0ecc1f0005f70a92",1,1,0,1,2,5
"602bfa29e999ac4189b02d93",1,1,1,1,1,5
"5c4207e8f35ed30001a737d7",1,1,1,1,0,4
"62cc7b2c3512b11e3621b7ee",2,1,1,1,1,6
"5fc3d6b6a0603a2b9d8d4925",1,2,1,1,2,7
"637f7c23658dbd7bcdd9e193",2,2,2,3,1,10
"5967e9a831394d0001abdb3f",2,2,2,0,1,7
"5eea9efc609f0d1ad38199bd",2,2,2,0,1,7
"5997e57d6b939900012da0e2",1,1,1,0,0,3
"600f43c41b55c5112ac7fd7d",1,1,1,0,0,3
"63d7d2f7e8f7e6853d1dcd67",2,1,2,1,1,7
"588a4cbb670d6600012bd509",1,2,2,2,3,10
"5cfd555a50597d0016e8f2e0",3,2,2,2,3,12
"5c61c1f594ff070001830a99",2,1,2,2,2,9
"6005da505dafb45c7b9f4982",3,2,2,2,2,11
"5d32005bc117ec0001d1f83c",2,1,2,2,1,8
"5c7fb04093cdce00160adf49",2,2,2,2,1,9
"5b0c6579d282ff00015b8c7f",2,2,2,1,2,9
"630d1aea50e36df79c80f34f",3,2,1,1,2,9
"5ea03f29271c1b0124707b36",1,2,1,1,2,7
"58bc46e24cdfd90001778235",1,1,1,0,1,4
"5f4e0155cf03293db269f873",2,2,1,1,0,6
"60a2be69eb4d3bcbff354d5d",2,2,3,3,3,13
"5ea9104773b05237212085a2",2,1,2,2,2,9
"5a00e6da120fb300019480b3",2,2,2,2,2,10
"611137facfa9be41762fbedc",2,2,2,2,2,10
"583c7c44164cd30001c345d6",1,1,2,1,1,6
"62d13e52521b5aba46b2d532",2,2,3,2,3,12
"5775874455fb780001d7f1d5",2,2,2,2,2,10
"5ea0631f1b0f64012fefc637",1,1,2,2,1,7
"594a8e2eeaa18e000163f6cd",1,1,1,1,1,5
"59d418c3b37d52000122ece0",3,2,2,2,2,11
"60accd3d6f3f272083a2f14f",1,2,1,0,1,5
"5e417093c3444f000ac9cb1e",1,1,1,1,1,5
"60c279923600906295f5c93b",1,1,2,1,1,6
"55c09e19fdf99b16c1fa925d",1,1,0,0,1,3
"60e18c89acd5fb822f5291db",1,2,1,3,1,8
"63b72f35b337507ff1b69f00",1,2,2,1,0,6
"5e18c73f5b1c59195a6ed828",1,2,3,1,3,10
"5e282e43266894a3e79a6eaa",3,3,3,3,2,14
"5fbcf7f7ab1d320008701750",1,1,2,1,1,6
"5fb84b5d91e23c547837f31d",1,1,2,1,1,6
"6080184d05448481c709be1f",1,1,1,0,0,3
"5d190e1c686b190018ea4d86",3,2,3,2,3,13
"6092dea4efd6d61350f0fdbf",2,2,2,2,2,10
"601bd7b6f176775ca8d0cd76",3,2,1,1,0,7
"6066d08253019ea549b1dd37",3,2,1,2,3,11
"60a9455edf704176d918fbaa",2,2,2,3,2,11
"59e52174e75b450001a69189",2,2,2,2,2,10
