"id","wave","is_real","type","experiment","rid","Affiliation","Predictibility","Competence","Control","Self-image","Survival","Physical comfort","Morality","Distress tolerance","No Idea","Comments"
"5d542c3a5af5900019bc80c4",1,1,"core","wet",1,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"5d542c3a5af5900019bc80c4",1,1,"surface","wet",2,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"5e459f61418f610891628564",1,1,"core","wet",3,"x",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"5e459f61418f610891628564",1,1,"surface","wet",4,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5f0f6ef654ae12126762bd4e",1,1,"core","wet",5,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5f0f6ef654ae12126762bd4e",1,1,"surface","wet",6,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6141f7605cb3feed72dad9aa",1,1,"core","wet",7,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6141f7605cb3feed72dad9aa",1,1,"surface","wet",8,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d39c859babfbf00185c09ac",1,3,"core","wet",9,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5d39c859babfbf00185c09ac",1,3,"surface","wet",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"58fa36995214e3000193281c",1,3,"core","wet",11,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"58fa36995214e3000193281c",1,3,"surface","wet",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"6173a7aa2d3f11e56d9f96f2",1,1,"core","wet",13,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"6173a7aa2d3f11e56d9f96f2",1,1,"surface","wet",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5e54367e80cd0944205b27f9",1,3,"core","wet",15,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"5e54367e80cd0944205b27f9",1,3,"surface","wet",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"60c895916a11e61bbd45d845",1,1,"core","wet",17,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"60c895916a11e61bbd45d845",1,1,"surface","wet",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"6303dd61dc15d0245f90767b",1,1,"core","wet",19,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"6303dd61dc15d0245f90767b",1,1,"surface","wet",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"5ac3c4470527ba0001c20712",1,1,"core","wet",21,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"5ac3c4470527ba0001c20712",1,1,"surface","wet",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"61bb381140db417c1a138ba3",1,1,"core","wet",23,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA
"61bb381140db417c1a138ba3",1,1,"surface","wet",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"567f59e0d18c640011e7ac0b",1,1,"core","wet",25,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA
"567f59e0d18c640011e7ac0b",1,1,"surface","wet",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5d50692435e3af0001f05a15",1,1,"core","wet",27,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA
"5d50692435e3af0001f05a15",1,1,"surface","wet",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5c8c2e09b828c80018deaced",1,1,"core","wet",29,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"5c8c2e09b828c80018deaced",1,1,"surface","wet",30,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"571b60465d40840012c3fd40",1,1,"core","wet",31,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA
"571b60465d40840012c3fd40",1,1,"surface","wet",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"634d7250a9dbe47b2b1d110f",1,1,"core","wet",33,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"634d7250a9dbe47b2b1d110f",1,1,"surface","wet",34,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"62e16e79326aa8ba7e6edeaf",1,1,"core","wet",35,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"62e16e79326aa8ba7e6edeaf",1,1,"surface","wet",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5cf91e3f1756e60017a30568",1,1,"core","wet",37,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"5cf91e3f1756e60017a30568",1,1,"surface","wet",38,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA
"5f216415e32db6041022a27b",1,1,"core","wet",39,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5f216415e32db6041022a27b",1,1,"surface","wet",40,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"5e185c397eeb87000d989683",1,1,"core","wet",41,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"5e185c397eeb87000d989683",1,1,"surface","wet",42,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6061ef11da123a1d9e55c6c8",1,1,"core","wet",43,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"6061ef11da123a1d9e55c6c8",1,1,"surface","wet",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"5996f68a9039240001432124",1,1,"core","wet",45,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5996f68a9039240001432124",1,1,"surface","wet",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"63e6216da8150c9650c579c4",1,1,"core","wet",47,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63e6216da8150c9650c579c4",1,1,"surface","wet",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5a5f945176d1c60001ab7e30",1,1,"core","wet",49,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5a5f945176d1c60001ab7e30",1,1,"surface","wet",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"5da2f9f17809b60014fc839a",1,1,"core","wet",51,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5da2f9f17809b60014fc839a",1,1,"surface","wet",52,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"5d4551340196ac0001b914a5",1,3,"core","wet",53,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"5d4551340196ac0001b914a5",1,3,"surface","wet",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5d651665cad1a9001839839d",1,1,"core","wet",55,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"5d651665cad1a9001839839d",1,1,"surface","wet",56,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"5979d62b1fc28a000191759a",1,1,"core","wet",57,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"5979d62b1fc28a000191759a",1,1,"surface","wet",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"595e4bef84f571000111ca04",1,3,"core","wet",59,"X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"595e4bef84f571000111ca04",1,3,"surface","wet",60,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"5ee531ca5f4c6f0be142ded4",1,1,"core","wet",61,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ee531ca5f4c6f0be142ded4",1,1,"surface","wet",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"629e1ece4f4735be708aa604",1,1,"core","wet",63,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA
"629e1ece4f4735be708aa604",1,1,"surface","wet",64,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA
"5b4e147ad4c93b00019c9e01",1,1,"core","wet",65,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"5b4e147ad4c93b00019c9e01",1,1,"surface","wet",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5f1419bee764c61e136008ed",1,3,"core","wet",67,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA
"5f1419bee764c61e136008ed",1,3,"surface","wet",68,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"571c92b2e1d2ec0009a6872b",1,1,"core","wet",69,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA
"571c92b2e1d2ec0009a6872b",1,1,"surface","wet",70,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA
"63cee98c7cce75401646795a",1,1,"core","wet",71,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"63cee98c7cce75401646795a",1,1,"surface","wet",72,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA
"5e8d96efe32229018dec69dd",1,1,"core","wet",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5e8d96efe32229018dec69dd",1,1,"surface","wet",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"5e950a4aef32a3375999451e",1,2,"core","wet",75,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA
"5e950a4aef32a3375999451e",1,2,"surface","wet",76,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56b27fed0ecc1f0005f70a92",1,3,"core","wet",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"56b27fed0ecc1f0005f70a92",1,3,"surface","wet",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"602bfa29e999ac4189b02d93",1,1,"core","wet",79,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"602bfa29e999ac4189b02d93",1,1,"surface","wet",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA
"5c4207e8f35ed30001a737d7",1,3,"core","wet",81,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c4207e8f35ed30001a737d7",1,3,"surface","wet",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"62cc7b2c3512b11e3621b7ee",1,1,"core","wet",83,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62cc7b2c3512b11e3621b7ee",1,1,"surface","wet",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"5fc3d6b6a0603a2b9d8d4925",1,1,"core","wet",85,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA
"5fc3d6b6a0603a2b9d8d4925",1,1,"surface","wet",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"637f7c23658dbd7bcdd9e193",1,1,"core","wet",87,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637f7c23658dbd7bcdd9e193",1,1,"surface","wet",88,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"5967e9a831394d0001abdb3f",1,1,"core","wet",89,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
